"Statistic Label","Year","Source of Tax Funds","UNIT","VALUE"
"Censorship fees (D29E)","2007","General Government - Central Government (S.1311)","€milllion","0"
"Censorship fees (D29E)","2007","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2007","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","0"
"Censorship fees (D29E)","2008","General Government - Total (S.13)","€milllion","0"
"Censorship fees (D29E)","2008","General Government - Central Government (S.1311)","€milllion","0"
"Censorship fees (D29E)","2008","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2008","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","2.398"
"Censorship fees (D29E)","2009","General Government - Total (S.13)","€milllion","2.398"
"Censorship fees (D29E)","2009","General Government - Central Government (S.1311)","€milllion","2.398"
"Censorship fees (D29E)","2009","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2009","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","2.515"
"Censorship fees (D29E)","2010","General Government - Total (S.13)","€milllion","2.515"
"Censorship fees (D29E)","2010","General Government - Central Government (S.1311)","€milllion","2.515"
"Censorship fees (D29E)","2010","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2010","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","2.041"
"Censorship fees (D29E)","2011","General Government - Total (S.13)","€milllion","2.041"
"Censorship fees (D29E)","2011","General Government - Central Government (S.1311)","€milllion","2.041"
"Censorship fees (D29E)","2011","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2011","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","2.041"
"Censorship fees (D29E)","2012","General Government - Total (S.13)","€milllion","2.041"
"Censorship fees (D29E)","2012","General Government - Central Government (S.1311)","€milllion","2.041"
"Censorship fees (D29E)","2012","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2012","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","1.9"
"Censorship fees (D29E)","2013","General Government - Total (S.13)","€milllion","1.9"
"Censorship fees (D29E)","2013","General Government - Central Government (S.1311)","€milllion","1.9"
"Censorship fees (D29E)","2013","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2013","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","1.7"
"Censorship fees (D29E)","2014","General Government - Total (S.13)","€milllion","1.7"
"Censorship fees (D29E)","2014","General Government - Central Government (S.1311)","€milllion","1.7"
"Censorship fees (D29E)","2014","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2014","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","1.581"
"Censorship fees (D29E)","2015","General Government - Total (S.13)","€milllion","1.581"
"Censorship fees (D29E)","2015","General Government - Central Government (S.1311)","€milllion","1.581"
"Censorship fees (D29E)","2015","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2015","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","1.641"
"Censorship fees (D29E)","2016","General Government - Total (S.13)","€milllion","1.641"
"Censorship fees (D29E)","2016","General Government - Central Government (S.1311)","€milllion","1.641"
"Censorship fees (D29E)","2016","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2016","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","1.537"
"Censorship fees (D29E)","2017","General Government - Total (S.13)","€milllion","1.537"
"Censorship fees (D29E)","2017","General Government - Central Government (S.1311)","€milllion","1.537"
"Censorship fees (D29E)","2017","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2017","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2017","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","1.261"
"Censorship fees (D29E)","2018","General Government - Total (S.13)","€milllion","1.261"
"Censorship fees (D29E)","2018","General Government - Central Government (S.1311)","€milllion","1.261"
"Censorship fees (D29E)","2018","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2018","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2018","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","1.202"
"Censorship fees (D29E)","2019","General Government - Total (S.13)","€milllion","1.202"
"Censorship fees (D29E)","2019","General Government - Central Government (S.1311)","€milllion","1.202"
"Censorship fees (D29E)","2019","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2019","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2019","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","0.81"
"Censorship fees (D29E)","2020","General Government - Total (S.13)","€milllion","0.81"
"Censorship fees (D29E)","2020","General Government - Central Government (S.1311)","€milllion","0.81"
"Censorship fees (D29E)","2020","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2020","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","0.82"
"Censorship fees (D29E)","2021","General Government - Total (S.13)","€milllion","0.82"
"Censorship fees (D29E)","2021","General Government - Central Government (S.1311)","€milllion","0.82"
"Censorship fees (D29E)","2021","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2021","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","0.91"
"Censorship fees (D29E)","2022","General Government - Total (S.13)","€milllion","0.91"
"Censorship fees (D29E)","2022","General Government - Central Government (S.1311)","€milllion","0.91"
"Censorship fees (D29E)","2022","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2022","Rest of World (S.212)","€milllion",""
"Censorship fees (D29E)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","0.81"
"Censorship fees (D29E)","2023","General Government - Total (S.13)","€milllion","0.81"
"Censorship fees (D29E)","2023","General Government - Central Government (S.1311)","€milllion","0.81"
"Censorship fees (D29E)","2023","General Government - Local Government (S.1313)","€milllion",""
"Censorship fees (D29E)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Censorship fees (D29E)","2023","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","407.015"
"Commercial Rates  (D29A)","1995","General Government - Total (S.13)","€milllion","407.015"
"Commercial Rates  (D29A)","1995","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","1995","General Government - Local Government (S.1313)","€milllion","407.015"
"Commercial Rates  (D29A)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","1995","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","431.546"
"Commercial Rates  (D29A)","1996","General Government - Total (S.13)","€milllion","431.546"
"Commercial Rates  (D29A)","1996","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","1996","General Government - Local Government (S.1313)","€milllion","431.546"
"Commercial Rates  (D29A)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","1996","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","458.16"
"Commercial Rates  (D29A)","1997","General Government - Total (S.13)","€milllion","458.16"
"Commercial Rates  (D29A)","1997","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","1997","General Government - Local Government (S.1313)","€milllion","458.16"
"Commercial Rates  (D29A)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","1997","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","493.103"
"Commercial Rates  (D29A)","1998","General Government - Total (S.13)","€milllion","493.103"
"Commercial Rates  (D29A)","1998","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","1998","General Government - Local Government (S.1313)","€milllion","493.103"
"Commercial Rates  (D29A)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","1998","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","538.991"
"Commercial Rates  (D29A)","1999","General Government - Total (S.13)","€milllion","538.991"
"Commercial Rates  (D29A)","1999","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","1999","General Government - Local Government (S.1313)","€milllion","538.991"
"Commercial Rates  (D29A)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","1999","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","587.41"
"Commercial Rates  (D29A)","2000","General Government - Total (S.13)","€milllion","587.41"
"Commercial Rates  (D29A)","2000","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2000","General Government - Local Government (S.1313)","€milllion","587.41"
"Commercial Rates  (D29A)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2000","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","657.9"
"Commercial Rates  (D29A)","2001","General Government - Total (S.13)","€milllion","657.9"
"Commercial Rates  (D29A)","2001","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2001","General Government - Local Government (S.1313)","€milllion","657.9"
"Commercial Rates  (D29A)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2001","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","747.2"
"Commercial Rates  (D29A)","2002","General Government - Total (S.13)","€milllion","747.2"
"Commercial Rates  (D29A)","2002","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2002","General Government - Local Government (S.1313)","€milllion","747.2"
"Commercial Rates  (D29A)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2002","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","836.436"
"Commercial Rates  (D29A)","2003","General Government - Total (S.13)","€milllion","836.436"
"Commercial Rates  (D29A)","2003","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2003","General Government - Local Government (S.1313)","€milllion","836.436"
"Commercial Rates  (D29A)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2003","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","875.908097"
"Commercial Rates  (D29A)","2004","General Government - Total (S.13)","€milllion","875.908097"
"Commercial Rates  (D29A)","2004","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2004","General Government - Local Government (S.1313)","€milllion","875.908097"
"Commercial Rates  (D29A)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2004","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","1020.425365"
"Commercial Rates  (D29A)","2005","General Government - Total (S.13)","€milllion","1020.425365"
"Commercial Rates  (D29A)","2005","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2005","General Government - Local Government (S.1313)","€milllion","1020.425365"
"Commercial Rates  (D29A)","2005","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2005","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2006","General Government and Rest of World  (S.13+S.212)","€milllion","1055.020324"
"Commercial Rates  (D29A)","2006","General Government - Total (S.13)","€milllion","1055.020324"
"Commercial Rates  (D29A)","2006","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2006","General Government - Local Government (S.1313)","€milllion","1055.020324"
"Commercial Rates  (D29A)","2006","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2006","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2007","General Government and Rest of World  (S.13+S.212)","€milllion","1232.785108"
"Commercial Rates  (D29A)","2007","General Government - Total (S.13)","€milllion","1232.785108"
"Commercial Rates  (D29A)","2007","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2007","General Government - Local Government (S.1313)","€milllion","1232.785108"
"Commercial Rates  (D29A)","2007","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2007","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2008","General Government and Rest of World  (S.13+S.212)","€milllion","1276.265552"
"Commercial Rates  (D29A)","2008","General Government - Total (S.13)","€milllion","1276.265552"
"Commercial Rates  (D29A)","2008","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2008","General Government - Local Government (S.1313)","€milllion","1276.265552"
"Commercial Rates  (D29A)","2008","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2008","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2009","General Government and Rest of World  (S.13+S.212)","€milllion","1263.36844"
"Commercial Rates  (D29A)","2009","General Government - Total (S.13)","€milllion","1263.36844"
"Commercial Rates  (D29A)","2009","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2009","General Government - Local Government (S.1313)","€milllion","1263.36844"
"Commercial Rates  (D29A)","2009","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2009","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2010","General Government and Rest of World  (S.13+S.212)","€milllion","1247.999702"
"Commercial Rates  (D29A)","2010","General Government - Total (S.13)","€milllion","1247.999702"
"Commercial Rates  (D29A)","2010","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2010","General Government - Local Government (S.1313)","€milllion","1247.999702"
"Commercial Rates  (D29A)","2010","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2010","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2011","General Government and Rest of World  (S.13+S.212)","€milllion","1264.838715"
"Commercial Rates  (D29A)","2011","General Government - Total (S.13)","€milllion","1264.838715"
"Commercial Rates  (D29A)","2011","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2011","General Government - Local Government (S.1313)","€milllion","1264.838715"
"Commercial Rates  (D29A)","2011","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2011","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2012","General Government and Rest of World  (S.13+S.212)","€milllion","1274.013442"
"Commercial Rates  (D29A)","2012","General Government - Total (S.13)","€milllion","1274.013442"
"Commercial Rates  (D29A)","2012","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2012","General Government - Local Government (S.1313)","€milllion","1274.013442"
"Commercial Rates  (D29A)","2012","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2012","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2013","General Government and Rest of World  (S.13+S.212)","€milllion","1292.6"
"Commercial Rates  (D29A)","2013","General Government - Total (S.13)","€milllion","1292.6"
"Commercial Rates  (D29A)","2013","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2013","General Government - Local Government (S.1313)","€milllion","1292.6"
"Commercial Rates  (D29A)","2013","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2013","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2014","General Government and Rest of World  (S.13+S.212)","€milllion","1324.815524"
"Commercial Rates  (D29A)","2014","General Government - Total (S.13)","€milllion","1324.815524"
"Commercial Rates  (D29A)","2014","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2014","General Government - Local Government (S.1313)","€milllion","1324.815524"
"Commercial Rates  (D29A)","2014","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2014","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2015","General Government and Rest of World  (S.13+S.212)","€milllion","1346.93739"
"Commercial Rates  (D29A)","2015","General Government - Total (S.13)","€milllion","1346.93739"
"Commercial Rates  (D29A)","2015","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2015","General Government - Local Government (S.1313)","€milllion","1346.93739"
"Commercial Rates  (D29A)","2015","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2015","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2016","General Government and Rest of World  (S.13+S.212)","€milllion","1318.402246"
"Commercial Rates  (D29A)","2016","General Government - Total (S.13)","€milllion","1318.402246"
"Commercial Rates  (D29A)","2016","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2016","General Government - Local Government (S.1313)","€milllion","1318.402246"
"Commercial Rates  (D29A)","2016","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2016","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2017","General Government and Rest of World  (S.13+S.212)","€milllion","1341.822316"
"Commercial Rates  (D29A)","2017","General Government - Total (S.13)","€milllion","1341.822316"
"Commercial Rates  (D29A)","2017","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2017","General Government - Local Government (S.1313)","€milllion","1341.822316"
"Commercial Rates  (D29A)","2017","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2017","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2018","General Government and Rest of World  (S.13+S.212)","€milllion","1387.723747"
"Commercial Rates  (D29A)","2018","General Government - Total (S.13)","€milllion","1387.723747"
"Commercial Rates  (D29A)","2018","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2018","General Government - Local Government (S.1313)","€milllion","1387.723747"
"Commercial Rates  (D29A)","2018","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2018","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2019","General Government and Rest of World  (S.13+S.212)","€milllion","1425.673595"
"Commercial Rates  (D29A)","2019","General Government - Total (S.13)","€milllion","1425.673595"
"Commercial Rates  (D29A)","2019","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2019","General Government - Local Government (S.1313)","€milllion","1425.673595"
"Commercial Rates  (D29A)","2019","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2019","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2020","General Government and Rest of World  (S.13+S.212)","€milllion","707.7890828"
"Commercial Rates  (D29A)","2020","General Government - Total (S.13)","€milllion","707.7890828"
"Commercial Rates  (D29A)","2020","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2020","General Government - Local Government (S.1313)","€milllion","707.7890828"
"Commercial Rates  (D29A)","2020","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2020","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2021","General Government and Rest of World  (S.13+S.212)","€milllion","1088.98"
"Commercial Rates  (D29A)","2021","General Government - Total (S.13)","€milllion","1088.98"
"Commercial Rates  (D29A)","2021","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2021","General Government - Local Government (S.1313)","€milllion","1088.98"
"Commercial Rates  (D29A)","2021","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2021","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2022","General Government and Rest of World  (S.13+S.212)","€milllion","1533.26474"
"Commercial Rates  (D29A)","2022","General Government - Total (S.13)","€milllion","1533.26474"
"Commercial Rates  (D29A)","2022","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2022","General Government - Local Government (S.1313)","€milllion","1533.26474"
"Commercial Rates  (D29A)","2022","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2022","Rest of World (S.212)","€milllion",""
"Commercial Rates  (D29A)","2023","General Government and Rest of World  (S.13+S.212)","€milllion","1653.474589"
"Commercial Rates  (D29A)","2023","General Government - Total (S.13)","€milllion","1653.474589"
"Commercial Rates  (D29A)","2023","General Government - Central Government (S.1311)","€milllion",""
"Commercial Rates  (D29A)","2023","General Government - Local Government (S.1313)","€milllion","1653.474589"
"Commercial Rates  (D29A)","2023","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Commercial Rates  (D29A)","2023","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","1995","General Government and Rest of World  (S.13+S.212)","€milllion","1458.153"
"Corporation Tax (D51B)","1995","General Government - Total (S.13)","€milllion","1458.153"
"Corporation Tax (D51B)","1995","General Government - Central Government (S.1311)","€milllion","1458.153"
"Corporation Tax (D51B)","1995","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","1995","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","1995","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","1996","General Government and Rest of World  (S.13+S.212)","€milllion","1813.46"
"Corporation Tax (D51B)","1996","General Government - Total (S.13)","€milllion","1813.46"
"Corporation Tax (D51B)","1996","General Government - Central Government (S.1311)","€milllion","1813.46"
"Corporation Tax (D51B)","1996","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","1996","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","1996","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","1997","General Government and Rest of World  (S.13+S.212)","€milllion","2154.918"
"Corporation Tax (D51B)","1997","General Government - Total (S.13)","€milllion","2154.918"
"Corporation Tax (D51B)","1997","General Government - Central Government (S.1311)","€milllion","2154.918"
"Corporation Tax (D51B)","1997","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","1997","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","1997","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","1998","General Government and Rest of World  (S.13+S.212)","€milllion","2614.279"
"Corporation Tax (D51B)","1998","General Government - Total (S.13)","€milllion","2614.279"
"Corporation Tax (D51B)","1998","General Government - Central Government (S.1311)","€milllion","2614.279"
"Corporation Tax (D51B)","1998","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","1998","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","1998","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","1999","General Government and Rest of World  (S.13+S.212)","€milllion","3442.37"
"Corporation Tax (D51B)","1999","General Government - Total (S.13)","€milllion","3442.37"
"Corporation Tax (D51B)","1999","General Government - Central Government (S.1311)","€milllion","3442.37"
"Corporation Tax (D51B)","1999","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","1999","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","1999","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2000","General Government and Rest of World  (S.13+S.212)","€milllion","3885.284244"
"Corporation Tax (D51B)","2000","General Government - Total (S.13)","€milllion","3885.284244"
"Corporation Tax (D51B)","2000","General Government - Central Government (S.1311)","€milllion","3885.284244"
"Corporation Tax (D51B)","2000","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2000","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2000","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2001","General Government and Rest of World  (S.13+S.212)","€milllion","4143.9"
"Corporation Tax (D51B)","2001","General Government - Total (S.13)","€milllion","4143.9"
"Corporation Tax (D51B)","2001","General Government - Central Government (S.1311)","€milllion","4143.9"
"Corporation Tax (D51B)","2001","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2001","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2001","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2002","General Government and Rest of World  (S.13+S.212)","€milllion","4803.75"
"Corporation Tax (D51B)","2002","General Government - Total (S.13)","€milllion","4803.75"
"Corporation Tax (D51B)","2002","General Government - Central Government (S.1311)","€milllion","4803.75"
"Corporation Tax (D51B)","2002","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2002","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2002","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2003","General Government and Rest of World  (S.13+S.212)","€milllion","5155.44"
"Corporation Tax (D51B)","2003","General Government - Total (S.13)","€milllion","5155.44"
"Corporation Tax (D51B)","2003","General Government - Central Government (S.1311)","€milllion","5155.44"
"Corporation Tax (D51B)","2003","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2003","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2003","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2004","General Government and Rest of World  (S.13+S.212)","€milllion","5335"
"Corporation Tax (D51B)","2004","General Government - Total (S.13)","€milllion","5335"
"Corporation Tax (D51B)","2004","General Government - Central Government (S.1311)","€milllion","5335"
"Corporation Tax (D51B)","2004","General Government - Local Government (S.1313)","€milllion",""
"Corporation Tax (D51B)","2004","General Government - Social Insurance Fund (S.1314)","€milllion",""
"Corporation Tax (D51B)","2004","Rest of World (S.212)","€milllion",""
"Corporation Tax (D51B)","2005","General Government and Rest of World  (S.13+S.212)","€milllion","5503.24"
